"mirtarbase","wptargets"
"hsa-let-7b-3p","WP107, WP127, WP138, WP15, WP1530, WP1533, WP1544, WP1545, WP1589, WP1601, WP170, WP1742, WP176, WP179, WP185, WP197, WP1971, WP1982, WP1984, WP2011, WP2032, WP2034, WP2035, WP2036, WP2037, WP2038, WP205, WP2059, WP206, WP2064, WP2112, WP2118, WP2261, WP2289, WP23, WP2332, WP2355, WP236, WP2374, WP2377, WP2380, WP2406, WP2431, WP2446, WP2516, WP254, WP2572, WP2583, WP2586, WP2636, WP2795, WP2828, 
WP2846, WP2853, WP2857, WP2858, WP2864, WP2873, WP2884, WP289, WP306, WP3286, WP3298, WP3303, WP34, WP3408, WP3527, WP3584, WP3594, WP3599, WP3601, WP3612, WP3624, WP363, WP364, WP3640, WP3658, WP366, WP3664, WP3676, WP3680, WP382, WP3844, WP3850, WP3853, WP3863, WP3872, WP3874, WP3888, WP3893, WP391, WP3915, WP3929, WP3931, WP3932, WP3938, WP3939, WP3941, WP3945, WP3946, WP3959, WP399, WP400, WP410, 
WP411, WP428, WP430, WP437, WP45, WP465, WP466, WP477, WP481, WP500, WP531, WP585, WP61, WP615, WP673, WP69, WP706, WP707, WP710, WP712, WP716, WP734"
"hsa-let-7b-5p","WP100, WP106, WP107, WP111, WP117, WP12, WP127, WP138, WP1403, WP1424, WP143, WP1433, WP1434, WP1449, WP1471, WP15, WP1528, WP1530, WP1531, WP1533, WP1539, WP1544, WP1545, WP1559, WP1584, WP1589, WP1591, WP1601, WP1602, WP167, WP170, WP1742, WP176, WP1772, WP179, WP183, WP185, WP186, WP1946, WP195, WP197, WP1971, WP1982, WP1984, WP1991, WP1995, WP2007, WP2011, WP2012, WP2018, WP2029, WP2032, 
WP2034, WP2035, WP2036, WP2037, WP2038, WP205, WP2059, WP206, WP2064, WP2112, WP2113, WP2118, WP2197, WP22, WP2203, WP2249, WP2261, WP2267, WP2272, WP2276, WP229, WP2290, WP2291, WP23, WP231, WP2324, WP2328, WP2332, WP2333, WP2338, WP2355, WP2359, WP236, WP2361, WP2363, WP2369, WP2371, WP2374, WP2377, WP2380, WP24, WP2406, WP241, WP2431, WP2435, WP244, WP2446, WP2447, WP2453, WP2507, WP2509, WP2516, 
WP2525, WP2526, WP2533, WP254, WP2542, WP2572, WP2583, WP2586, WP26, WP262, WP2636, WP2637, WP2643, WP2646, WP268, WP272, WP2795, WP28, WP2805, WP2828, WP2846, WP2848, WP2849, WP2853, WP2854, WP2857, WP2858, WP286, WP2864, WP2865, WP2868, WP2870, WP2873, WP2874, WP2875, WP2878, WP2879, WP2881, WP2884, WP289, WP2895, WP2911, WP2916, WP2943, WP299, WP304, WP306, WP313, WP314, WP322, WP325, WP3286, 
WP3287, WP3298, WP3300, WP3301, WP3302, WP3303, WP334, WP34, WP3407, WP3408, WP3413, WP3414, WP35, WP3527, WP3529, WP357, WP3584, WP3593, WP3594, WP3596, WP3599, WP3601, WP3611, WP3614, WP3617, WP3624, WP363, WP3630, WP3633, WP3634, WP3635, WP364, WP3640, WP3646, WP3651, WP3657, WP3658, WP366, WP3668, WP3672, WP3676, WP3678, WP368, WP3680, WP382, WP383, WP3844, WP3845, WP3849, WP3850, WP3851, WP3853, 
WP3858, WP3859, WP3863, WP3865, WP3871, WP3872, WP3874, WP3877, WP3878, WP3879, WP3888, WP3893, WP391, WP3915, WP3925, WP3926, WP3929, WP3931, WP3932, WP3933, WP3934, WP3935, WP3937, WP3938, WP3939, WP3940, WP3941, WP3942, WP3945, WP395, WP3958, WP3959, WP399, WP400, WP404, WP405, WP408, WP410, WP411, WP422, WP428, WP43, WP430, WP437, WP45, WP453, WP455, WP465, WP466, WP474, WP477, WP481, WP49, 
WP497, WP500, WP51, WP516, WP524, WP528, WP53, WP530, WP534, WP536, WP558, WP560, WP581, WP585, WP61, WP615, WP619, WP623, WP673, WP678, WP688, WP69, WP691, WP692, WP694, WP696, WP697, WP698, WP699, WP702, WP704, WP706, WP707, WP710, WP712, WP716, WP727, WP732, WP734, WP75, WP78, WP98"
"hsa-let-7c-3p","WP111, WP127, WP129, WP138, WP1455, WP1471, WP1528, WP1544, WP176, WP179, WP183, WP195, WP1982, WP1984, WP2018, WP2034, WP2035, WP2059, WP2197, WP2261, WP2272, WP2290, WP23, WP231, WP2324, WP236, WP2363, WP2374, WP2377, WP2380, WP241, WP2446, WP2525, WP2583, WP2586, WP2636, WP2643, WP268, WP2795, WP2848, WP2853, WP2857, WP2858, WP286, WP2870, WP2873, WP2875, WP2884, WP289, WP304, WP313, WP314, 
WP3286, WP3298, WP3302, WP3303, WP3413, WP35, WP3529, WP3584, WP3594, WP3599, WP3624, WP3630, WP366, WP3676, WP382, WP3844, WP3845, WP3863, WP3865, WP3876, WP3888, WP3915, WP3929, WP3931, WP3932, WP3939, WP3940, WP3941, WP3942, WP3946, WP3959, WP399, WP411, WP422, WP428, WP437, WP45, WP474, WP477, WP481, WP49, WP500, WP51, WP524, WP536, WP585, WP61, WP623, WP673, WP69, WP710, WP727, WP732"
"hsa-let-7c-5p","WP107, WP111, WP12, WP127, WP138, WP1403, WP1425, WP1433, WP1434, WP1449, WP1455, WP1471, WP15, WP1528, WP1530, WP1533, WP1539, WP1544, WP1545, WP1584, WP1589, WP1591, WP1601, WP167, WP170, WP1742, WP176, WP1772, WP179, WP183, WP185, WP1946, WP195, WP1971, WP1982, WP1984, WP1991, WP1995, WP2007, WP2011, WP2012, WP2018, WP2029, WP2032, WP2034, WP2035, WP2036, WP2037, WP205, WP2059, WP2064, WP2112, 
WP2113, WP2118, WP2197, WP2203, WP2249, WP2261, WP2272, WP2290, WP23, WP231, WP2328, WP2333, WP2355, WP2359, WP236, WP2363, WP2369, WP2371, WP2374, WP2377, WP2380, WP24, WP2406, WP241, WP2431, WP2435, WP244, WP2446, WP2447, WP2507, WP2509, WP2516, WP2525, WP2526, WP254, WP2572, WP2583, WP2586, WP26, WP2636, WP2637, WP2643, WP268, WP2795, WP28, WP2828, WP2848, WP2849, WP2853, WP2854, WP2855, WP2857, 
WP2858, WP286, WP2864, WP2870, WP2873, WP2874, WP2875, WP2878, WP2884, WP289, WP2895, WP2911, WP2916, WP299, WP3, WP304, WP306, WP313, WP314, WP322, WP3286, WP3287, WP3298, WP3301, WP3302, WP3303, WP34, WP3413, WP35, WP3527, WP357, WP3584, WP3585, WP3594, WP3596, WP3599, WP3611, WP3613, WP3614, WP3617, WP3624, WP363, WP3630, WP3634, WP3635, WP364, WP3640, WP3644, WP3645, WP3646, WP3651, WP3657, 
WP3658, WP366, WP3664, WP3668, WP3670, WP3672, WP3676, WP3679, WP3680, WP382, WP383, WP3844, WP3845, WP3850, WP3851, WP3853, WP3859, WP3863, WP3865, WP3872, WP3874, WP3878, WP3879, WP3888, WP3893, WP391, WP3915, WP3924, WP3925, WP3929, WP3931, WP3932, WP3933, WP3934, WP3935, WP3937, WP3939, WP3940, WP3941, WP3945, WP3946, WP395, WP3958, WP3959, WP399, WP400, WP404, WP405, WP408, WP410, WP411, WP422, 
WP428, WP437, WP45, WP453, WP455, WP466, WP474, WP477, WP481, WP49, WP500, WP51, WP524, WP53, WP530, WP534, WP536, WP560, WP581, WP585, WP61, WP615, WP619, WP623, WP673, WP688, WP69, WP702, WP706, WP707, WP710, WP716, WP727, WP732, WP75, WP98"
"hsa-let-7c*","WP3644"
"hsa-let-7d-3p","WP410, WP411"
"hsa-let-7d-5p","WP111, WP12, WP127, WP138, WP1403, WP1449, WP15, WP1528, WP1530, WP1533, WP1544, WP1545, WP1589, WP1591, WP1601, WP170, WP1742, WP176, WP1772, WP179, WP183, WP185, WP195, WP1971, WP1982, WP1984, WP2007, WP2018, WP2029, WP2032, WP2034, WP2035, WP2037, WP205, WP2064, WP2113, WP2118, WP2197, WP2203, WP2249, WP2261, WP2272, WP23, WP231, WP2328, WP2332, WP2338, WP2355, WP2359, WP236, WP2363, WP2369, 
WP2371, WP2374, WP2377, WP2380, WP24, WP2406, WP241, WP2431, WP2446, WP2507, WP2509, WP2516, WP2525, WP2526, WP254, WP2572, WP2586, WP26, WP2637, WP268, WP2795, WP2805, WP2828, WP2848, WP2853, WP2854, WP2857, WP2858, WP286, WP2864, WP2870, WP2873, WP2875, WP2878, WP2884, WP289, WP2911, WP2943, WP304, WP306, WP314, WP3286, WP3298, WP3302, WP3303, WP3413, WP35, WP3527, WP3529, WP357, WP3584, WP3594, 
WP3596, WP3611, WP3614, WP3617, WP3624, WP363, WP3634, WP3635, WP364, WP3640, WP3646, WP3651, WP3657, WP3658, WP366, WP3668, WP3672, WP3676, WP3680, WP382, WP383, WP3850, WP3853, WP3863, WP3865, WP3872, WP3874, WP3875, WP3878, WP3888, WP3893, WP391, WP3915, WP3925, WP3929, WP3931, WP3932, WP3934, WP3935, WP3937, WP3939, WP3940, WP3941, WP3945, WP395, WP3958, WP3959, WP399, WP400, WP404, WP405, WP408, 
WP410, WP411, WP422, WP428, WP437, WP45, WP453, WP455, WP466, WP474, WP477, WP481, WP49, WP500, WP51, WP524, WP530, WP536, WP560, WP581, WP585, WP61, WP615, WP619, WP673, WP688, WP702, WP706, WP707, WP710, WP75, WP98"
"hsa-let-7e-3p","WP1433, WP325"
"hsa-let-7e-5p","WP107, WP111, WP12, WP127, WP129, WP134, WP138, WP1403, WP1433, WP1434, WP1449, WP1471, WP15, WP1528, WP1530, WP1533, WP1539, WP1544, WP1545, WP1559, WP1589, WP1591, WP1600, WP1601, WP1742, WP176, WP1772, WP179, WP183, WP185, WP186, WP195, WP197, WP1971, WP1982, WP1984, WP1992, WP1995, WP2007, WP2011, WP2012, WP2018, WP2029, WP2032, WP2034, WP2035, WP2036, WP2037, WP2038, WP205, WP2059, WP2064, 
WP2112, WP2113, WP2118, WP2197, WP22, WP2203, WP2249, WP2253, WP2261, WP2267, WP2272, WP23, WP231, WP2324, WP2328, WP2332, WP2338, WP2355, WP2359, WP236, WP2363, WP2369, WP2371, WP2374, WP2377, WP2380, WP24, WP2406, WP241, WP2431, WP2435, WP244, WP2446, WP2447, WP2491, WP2507, WP2509, WP2513, WP2516, WP2525, WP2526, WP254, WP2572, WP2583, WP2586, WP26, WP2636, WP2637, WP2643, WP268, WP2795, WP28, 
WP2805, WP2828, WP2848, WP2853, WP2854, WP2855, WP2857, WP2858, WP286, WP2864, WP2865, WP2868, WP2870, WP2873, WP2874, WP2875, WP2878, WP2879, WP2881, WP2884, WP289, WP2911, WP2916, WP2942, WP299, WP304, WP306, WP313, WP314, WP3286, WP3287, WP3298, WP3301, WP3302, WP3303, WP3413, WP3414, WP35, WP3527, WP357, WP3584, WP3593, WP3594, WP3596, WP3599, WP3611, WP3614, WP3617, WP3624, WP363, WP364, WP3640, 
WP3646, WP3651, WP3655, WP3657, WP3658, WP366, WP3664, WP3668, WP3672, WP3680, WP382, WP383, WP384, WP3850, WP3853, WP3863, WP3865, WP3871, WP3872, WP3875, WP3878, WP3888, WP3892, WP3893, WP391, WP3915, WP3925, WP3929, WP3931, WP3932, WP3934, WP3935, WP3937, WP3938, WP3939, WP3940, WP3941, WP3942, WP3945, WP3946, WP3947, WP395, WP3958, WP3959, WP399, WP400, WP404, WP405, WP408, WP410, WP411, WP422, 
WP428, WP43, WP430, WP437, WP45, WP453, WP455, WP466, WP474, WP477, WP481, WP49, WP497, WP500, WP51, WP524, WP53, WP531, WP536, WP558, WP560, WP581, WP585, WP61, WP615, WP619, WP623, WP673, WP688, WP69, WP702, WP706, WP707, WP710, WP733, WP734, WP75, WP98"
"hsa-let-7f-1-3p","WP107, WP127, WP138, WP15, WP1530, WP1533, WP1544, WP1545, WP1589, WP1601, WP170, WP1742, WP176, WP179, WP185, WP197, WP1971, WP1982, WP1984, WP2011, WP2032, WP2034, WP2035, WP2036, WP2037, WP2038, WP205, WP2059, WP206, WP2064, WP2112, WP2118, WP2261, WP2289, WP23, WP2332, WP2355, WP236, WP2374, WP2377, WP2380, WP2406, WP2431, WP2446, WP2516, WP254, WP2572, WP2583, WP2586, WP2636, WP2795, WP2828, 
WP2846, WP2853, WP2857, WP2858, WP2864, WP2873, WP2884, WP289, WP306, WP3286, WP3298, WP3303, WP34, WP3408, WP3527, WP357, WP3584, WP3594, WP3599, WP3601, WP3612, WP3624, WP363, WP364, WP3640, WP3658, WP366, WP3664, WP3676, WP3680, WP382, WP3844, WP3850, WP3853, WP3863, WP3872, WP3874, WP3888, WP3893, WP391, WP3915, WP3929, WP3931, WP3932, WP3938, WP3939, WP3941, WP3945, WP3946, WP3959, WP399, WP400, 
WP410, WP411, WP428, WP430, WP437, WP45, WP465, WP466, WP477, WP481, WP500, WP531, WP585, WP61, WP615, WP673, WP69, WP706, WP707, WP710, WP712, WP716, WP734"
"hsa-let-7f-2-3p","WP127, WP138, WP1449, WP15, WP1530, WP1533, WP1544, WP1545, WP1584, WP1589, WP170, WP1742, WP176, WP1772, WP179, WP195, WP1971, WP1982, WP1984, WP2011, WP2032, WP2034, WP2035, WP2036, WP2037, WP2038, WP205, WP2059, WP2064, WP2112, WP2118, WP2261, WP23, WP231, WP2324, WP2332, WP2355, WP236, WP2369, WP2374, WP2377, WP2380, WP2406, WP2431, WP244, WP2446, WP2453, WP2516, WP2526, WP254, WP2572, WP2583, 
WP2586, WP2636, WP2637, WP2795, WP2828, WP2846, WP2853, WP2857, WP2858, WP2864, WP2870, WP2873, WP2881, WP2884, WP289, WP306, WP314, WP3286, WP3298, WP3303, WP34, WP3408, WP3527, WP3584, WP3594, WP3596, WP3599, WP3601, WP3611, WP3614, WP363, WP3634, WP3635, WP364, WP3640, WP3651, WP3657, WP3658, WP366, WP3664, WP3668, WP3676, WP3680, WP382, WP3844, WP3850, WP3851, WP3853, WP3858, WP3863, WP3865, 
WP3872, WP3874, WP3888, WP3893, WP391, WP3915, WP3925, WP3929, WP3931, WP3932, WP3935, WP3938, WP3941, WP3942, WP3946, WP395, WP3959, WP399, WP400, WP410, WP411, WP422, WP428, WP430, WP437, WP45, WP465, WP466, WP477, WP481, WP500, WP531, WP534, WP560, WP581, WP585, WP61, WP615, WP673, WP69, WP706, WP707, WP710, WP712, WP716, WP734, WP75"
"hsa-let-7f-5p","WP107, WP111, WP12, WP127, WP138, WP1403, WP1423, WP1433, WP1449, WP15, WP1528, WP1530, WP1533, WP1539, WP1544, WP1545, WP1589, WP1591, WP1601, WP1742, WP176, WP1772, WP179, WP185, WP195, WP1971, WP1981, WP1982, WP1984, WP1991, WP2007, WP2012, WP2018, WP2029, WP2032, WP2034, WP2035, WP2037, WP205, WP2059, WP2064, WP2112, WP2113, WP2118, WP2197, WP2203, WP2249, WP2261, WP2272, WP23, WP231, WP2324, 
WP2328, WP2332, WP2355, WP2359, WP236, WP2363, WP2369, WP2371, WP2374, WP2377, WP2380, WP24, WP2406, WP241, WP2431, WP2446, WP2507, WP2509, WP2516, WP2525, WP2526, WP254, WP2572, WP2583, WP2586, WP26, WP2636, WP2637, WP268, WP2795, WP28, WP2828, WP2848, WP2853, WP2854, WP2857, WP2858, WP286, WP2864, WP2870, WP2873, WP2875, WP2878, WP2881, WP2884, WP289, WP2911, WP304, WP306, WP314, WP322, WP3286, 
WP3298, WP3302, WP3303, WP34, WP3413, WP3414, WP35, WP3527, WP357, WP3584, WP3594, WP3596, WP3611, WP3613, WP3614, WP3617, WP3624, WP363, WP364, WP3640, WP3646, WP3651, WP3657, WP3658, WP366, WP3668, WP3672, WP3674, WP3680, WP382, WP383, WP3850, WP3851, WP3853, WP3863, WP3865, WP3872, WP3874, WP3875, WP3878, WP3888, WP3893, WP391, WP3915, WP3925, WP3929, WP3930, WP3931, WP3932, WP3934, WP3935, WP3937, 
WP3939, WP3940, WP3941, WP3945, WP395, WP3958, WP3959, WP399, WP400, WP404, WP405, WP408, WP410, WP411, WP422, WP428, WP43, WP437, WP45, WP453, WP455, WP465, WP466, WP474, WP481, WP49, WP500, WP51, WP524, WP530, WP536, WP560, WP581, WP585, WP61, WP615, WP619, WP623, WP673, WP688, WP702, WP706, WP707, WP710, WP712, WP75, WP98"
"hsa-let-7g-3p","WP111, WP138, WP1403, WP1455, WP1528, WP1530, WP1544, WP179, WP185, WP1971, WP1984, WP2018, WP2032, WP2034, WP2037, WP205, WP2059, WP2197, WP2203, WP2261, WP2272, WP23, WP2332, WP2363, WP2377, WP2380, WP2446, WP2516, WP254, WP2572, WP2583, WP2636, WP268, WP2795, WP28, WP2853, WP2857, WP2858, WP286, WP2864, WP2873, WP2884, WP289, WP304, WP306, WP314, WP325, WP3286, WP3298, WP3413, WP35, WP3529, 
WP3584, WP3594, WP3624, WP3651, WP366, WP3845, WP3850, WP3863, WP3888, WP3925, WP3932, WP3942, WP3959, WP411, WP45, WP474, WP477, WP481, WP49, WP500, WP51, WP524, WP536, WP560, WP585, WP61, WP615, WP623, WP69, WP707, WP727"
"hsa-let-7g-5p","WP107, WP111, WP12, WP127, WP138, WP1403, WP1449, WP15, WP1528, WP1530, WP1533, WP1544, WP1545, WP1559, WP1589, WP1591, WP1601, WP1742, WP176, WP1772, WP179, WP185, WP195, WP1971, WP1982, WP1984, WP2007, WP2018, WP2029, WP2032, WP2034, WP2036, WP2037, WP205, WP2059, WP2064, WP2113, WP2118, WP2197, WP2203, WP2249, WP2261, WP2272, WP2290, WP23, WP231, WP2324, WP2328, WP2355, WP2359, WP236, WP2363, 
WP2369, WP2371, WP2374, WP2377, WP2380, WP24, WP241, WP2431, WP2446, WP2447, WP2507, WP2509, WP2516, WP2525, WP2526, WP254, WP2572, WP2586, WP26, WP2637, WP2643, WP268, WP2795, WP2828, WP2848, WP2853, WP2854, WP2857, WP2858, WP286, WP2864, WP2870, WP2873, WP2875, WP2878, WP2884, WP289, WP2911, WP304, WP306, WP314, WP3286, WP3287, WP3298, WP3302, WP3303, WP3413, WP35, WP3527, WP357, WP3594, WP3596, 
WP3611, WP3614, WP3617, WP3624, WP363, WP3634, WP3635, WP364, WP3640, WP3646, WP3651, WP3657, WP3658, WP366, WP3668, WP3670, WP3672, WP3674, WP3676, WP3680, WP382, WP383, WP384, WP3844, WP3849, WP3850, WP3853, WP3859, WP3863, WP3865, WP3872, WP3874, WP3878, WP3888, WP3893, WP391, WP3915, WP3925, WP3927, WP3929, WP3931, WP3932, WP3934, WP3935, WP3937, WP3939, WP3940, WP3941, WP3945, WP395, WP3958, 
WP3959, WP399, WP400, WP404, WP405, WP408, WP410, WP411, WP422, WP428, WP437, WP45, WP453, WP455, WP466, WP474, WP477, WP481, WP49, WP500, WP51, WP524, WP530, WP536, WP560, WP581, WP585, WP61, WP615, WP619, WP673, WP688, WP69, WP702, WP706, WP707, WP710, WP732, WP75, WP98"
"hsa-let-7i-3p","WP1991, WP2118, WP2272, WP2636, WP289, WP306, WP314, WP411, WP51"
"hsa-let-7i-5p","WP111, WP117, WP12, WP127, WP138, WP1403, WP1433, WP1449, WP15, WP1528, WP1530, WP1533, WP1544, WP1545, WP1589, WP1591, WP1601, WP1742, WP176, WP1772, WP179, WP185, WP195, WP1971, WP1982, WP1984, WP1992, WP2007, WP2018, WP2029, WP2032, WP2034, WP2037, WP205, WP2064, WP2113, WP2118, WP2197, WP2203, WP2249, WP2261, WP2272, WP23, WP231, WP2324, WP2328, WP2355, WP2359, WP236, WP2363, WP2369, WP2371, 
WP2377, WP2380, WP24, WP2406, WP241, WP2431, WP2446, WP2507, WP2509, WP2516, WP2525, WP2526, WP254, WP2572, WP2586, WP26, WP2637, WP268, WP2795, WP2828, WP2848, WP2853, WP2854, WP2855, WP2857, WP2858, WP286, WP2864, WP2870, WP2873, WP2875, WP2878, WP2884, WP289, WP2895, WP2911, WP304, WP306, WP314, WP3286, WP3298, WP3302, WP3303, WP334, WP3413, WP35, WP3527, WP357, WP3594, WP3596, WP3611, WP3614, 
WP3617, WP3624, WP363, WP3640, WP3646, WP3651, WP3657, WP3658, WP366, WP3668, WP3672, WP3680, WP382, WP383, WP3850, WP3851, WP3853, WP3858, WP3863, WP3865, WP3872, WP3877, WP3878, WP3888, WP3893, WP391, WP3915, WP3925, WP3926, WP3927, WP3929, WP3931, WP3932, WP3934, WP3935, WP3937, WP3939, WP3940, WP3941, WP395, WP3958, WP3959, WP399, WP400, WP404, WP405, WP408, WP410, WP411, WP422, WP428, WP437, 
WP45, WP453, WP455, WP466, WP474, WP481, WP49, WP500, WP51, WP524, WP530, WP536, WP560, WP581, WP585, WP61, WP615, WP619, WP673, WP688, WP702, WP706, WP707, WP710, WP75, WP98"
